Kuukausi,Polttoneste,Hinta
1997-11-01,"Kevyt polttoöljy, snt/l",29.3
1997-11-01,"Kevyt polttoöljy, eur/MWh",29.4
1997-12-01,"Moottoribensiini 95 E 10, snt/l",92.8
1997-12-01,"Dieselöljy, snt/l",64.9
1997-12-01,"Kevyt polttoöljy, snt/l",28.3
1997-12-01,"Kevyt polttoöljy, eur/MWh",28.4
1998-01-01,"Moottoribensiini 95 E 10, snt/l",96.4
1998-01-01,"Dieselöljy, snt/l",66.9
1998-01-01,"Kevyt polttoöljy, snt/l",27.9
1998-01-01,"Kevyt polttoöljy, eur/MWh",28.0
1998-02-01,"Moottoribensiini 95 E 10, snt/l",95.5
1998-02-01,"Dieselöljy, snt/l",65.1
1998-02-01,"Kevyt polttoöljy, snt/l",27.6
1998-02-01,"Kevyt polttoöljy, eur/MWh",27.7
1998-03-01,"Moottoribensiini 95 E 10, snt/l",95.0
1998-03-01,"Dieselöljy, snt/l",65.9
1998-03-01,"Kevyt polttoöljy, snt/l",26.9
1998-03-01,"Kevyt polttoöljy, eur/MWh",27.0
1998-04-01,"Moottoribensiini 95 E 10, snt/l",94.9
1998-04-01,"Dieselöljy, snt/l",64.9
1998-04-01,"Kevyt polttoöljy, snt/l",27.4
1998-04-01,"Kevyt polttoöljy, eur/MWh",27.5
1998-05-01,"Moottoribensiini 95 E 10, snt/l",93.2
1998-05-01,"Dieselöljy, snt/l",63.1
1998-05-01,"Kevyt polttoöljy, snt/l",26.4
1998-05-01,"Kevyt polttoöljy, eur/MWh",26.5
1998-06-01,"Moottoribensiini 95 E 10, snt/l",95.2
1998-06-01,"Dieselöljy, snt/l",63.1
1998-06-01,"Kevyt polttoöljy, snt/l",25.2
1998-06-01,"Kevyt polttoöljy, eur/MWh",25.3
1998-07-01,"Moottoribensiini 95 E 10, snt/l",95.0
1998-07-01,"Dieselöljy, snt/l",62.9
1998-07-01,"Kevyt polttoöljy, snt/l",24.7
1998-07-01,"Kevyt polttoöljy, eur/MWh",24.8
1998-08-01,"Moottoribensiini 95 E 10, snt/l",94.5
1998-08-01,"Dieselöljy, snt/l",62.9
1998-08-01,"Kevyt polttoöljy, snt/l",24.2
1998-08-01,"Kevyt polttoöljy, eur/MWh",24.3
1998-09-01,"Moottoribensiini 95 E 10, snt/l",94.9
1998-09-01,"Dieselöljy, snt/l",62.9
1998-09-01,"Kevyt polttoöljy, snt/l",25.9
1998-09-01,"Kevyt polttoöljy, eur/MWh",26.0
1998-10-01,"Moottoribensiini 95 E 10, snt/l",90.5
1998-10-01,"Dieselöljy, snt/l",62.4
1998-10-01,"Kevyt polttoöljy, snt/l",25.4
1998-10-01,"Kevyt polttoöljy, eur/MWh",25.5
1998-11-01,"Moottoribensiini 95 E 10, snt/l",88.0
1998-11-01,"Dieselöljy, snt/l",63.1
1998-11-01,"Kevyt polttoöljy, snt/l",24.6
1998-11-01,"Kevyt polttoöljy, eur/MWh",24.7
1998-12-01,"Moottoribensiini 95 E 10, snt/l",86.8
1998-12-01,"Dieselöljy, snt/l",62.9
1998-12-01,"Kevyt polttoöljy, snt/l",22.9
1998-12-01,"Kevyt polttoöljy, eur/MWh",23.0
1999-01-01,"Moottoribensiini 95 E 10, snt/l",86.5
1999-01-01,"Dieselöljy, snt/l",62.6
1999-01-01,"Kevyt polttoöljy, snt/l",24.6
1999-01-01,"Kevyt polttoöljy, eur/MWh",24.7
1999-02-01,"Moottoribensiini 95 E 10, snt/l",91.2
1999-02-01,"Dieselöljy, snt/l",63.4
1999-02-01,"Kevyt polttoöljy, snt/l",24.1
1999-02-01,"Kevyt polttoöljy, eur/MWh",24.2
1999-03-01,"Moottoribensiini 95 E 10, snt/l",92.2
1999-03-01,"Dieselöljy, snt/l",63.1
1999-03-01,"Kevyt polttoöljy, snt/l",25.9
1999-03-01,"Kevyt polttoöljy, eur/MWh",26.0
1999-04-01,"Moottoribensiini 95 E 10, snt/l",99.1
1999-04-01,"Dieselöljy, snt/l",65.3
1999-04-01,"Kevyt polttoöljy, snt/l",27.4
1999-04-01,"Kevyt polttoöljy, eur/MWh",27.5
1999-05-01,"Moottoribensiini 95 E 10, snt/l",98.1
1999-05-01,"Dieselöljy, snt/l",65.9
1999-05-01,"Kevyt polttoöljy, snt/l",27.3
1999-05-01,"Kevyt polttoöljy, eur/MWh",27.4
1999-06-01,"Moottoribensiini 95 E 10, snt/l",99.6
1999-06-01,"Dieselöljy, snt/l",65.3
1999-06-01,"Kevyt polttoöljy, snt/l",26.6
1999-06-01,"Kevyt polttoöljy, eur/MWh",26.7
1999-07-01,"Moottoribensiini 95 E 10, snt/l",100.1
1999-07-01,"Dieselöljy, snt/l",68.5
1999-07-01,"Kevyt polttoöljy, snt/l",29.9
1999-07-01,"Kevyt polttoöljy, eur/MWh",30.1
1999-08-01,"Moottoribensiini 95 E 10, snt/l",105.8
1999-08-01,"Dieselöljy, snt/l",71.1
1999-08-01,"Kevyt polttoöljy, snt/l",30.1
1999-08-01,"Kevyt polttoöljy, eur/MWh",30.2
1999-09-01,"Moottoribensiini 95 E 10, snt/l",105.0
1999-09-01,"Dieselöljy, snt/l",70.8
1999-09-01,"Kevyt polttoöljy, snt/l",32.1
1999-09-01,"Kevyt polttoöljy, eur/MWh",32.3
1999-10-01,"Moottoribensiini 95 E 10, snt/l",103.3
1999-10-01,"Dieselöljy, snt/l",70.1
1999-10-01,"Kevyt polttoöljy, snt/l",31.5
1999-10-01,"Kevyt polttoöljy, eur/MWh",31.6
1999-11-01,"Moottoribensiini 95 E 10, snt/l",104.6
1999-11-01,"Dieselöljy, snt/l",73.2
1999-11-01,"Kevyt polttoöljy, snt/l",33.6
1999-11-01,"Kevyt polttoöljy, eur/MWh",33.8
1999-12-01,"Moottoribensiini 95 E 10, snt/l",108.3
1999-12-01,"Dieselöljy, snt/l",78.9
1999-12-01,"Kevyt polttoöljy, snt/l",35.8
1999-12-01,"Kevyt polttoöljy, eur/MWh",36.0
2000-01-01,"Moottoribensiini 95 E 10, snt/l",107.1
2000-01-01,"Dieselöljy, snt/l",81.7
2000-01-01,"Kevyt polttoöljy, snt/l",35.7
2000-01-01,"Kevyt polttoöljy, eur/MWh",35.8
2000-02-01,"Moottoribensiini 95 E 10, snt/l",107.3
2000-02-01,"Dieselöljy, snt/l",81.1
2000-02-01,"Kevyt polttoöljy, snt/l",37.5
2000-02-01,"Kevyt polttoöljy, eur/MWh",37.7
2000-03-01,"Moottoribensiini 95 E 10, snt/l",114.0
2000-03-01,"Dieselöljy, snt/l",83.1
2000-03-01,"Kevyt polttoöljy, snt/l",38.7
2000-03-01,"Kevyt polttoöljy, eur/MWh",38.9
2000-04-01,"Moottoribensiini 95 E 10, snt/l",109.8
2000-04-01,"Dieselöljy, snt/l",80.7
2000-04-01,"Kevyt polttoöljy, snt/l",36.2
2000-04-01,"Kevyt polttoöljy, eur/MWh",36.3
2000-05-01,"Moottoribensiini 95 E 10, snt/l",114.4
2000-05-01,"Dieselöljy, snt/l",80.9
2000-05-01,"Kevyt polttoöljy, snt/l",40.5
2000-05-01,"Kevyt polttoöljy, eur/MWh",40.7
2000-06-01,"Moottoribensiini 95 E 10, snt/l",123.6
2000-06-01,"Dieselöljy, snt/l",82.7
2000-06-01,"Kevyt polttoöljy, snt/l",39.4
2000-06-01,"Kevyt polttoöljy, eur/MWh",39.5
2000-07-01,"Moottoribensiini 95 E 10, snt/l",118.4
2000-07-01,"Dieselöljy, snt/l",81.4
2000-07-01,"Kevyt polttoöljy, snt/l",41.0
2000-07-01,"Kevyt polttoöljy, eur/MWh",41.2
2000-08-01,"Moottoribensiini 95 E 10, snt/l",115.7
2000-08-01,"Dieselöljy, snt/l",82.7
2000-08-01,"Kevyt polttoöljy, snt/l",44.4
2000-08-01,"Kevyt polttoöljy, eur/MWh",44.6
2000-09-01,"Moottoribensiini 95 E 10, snt/l",117.4
2000-09-01,"Dieselöljy, snt/l",91.7
2000-09-01,"Kevyt polttoöljy, snt/l",54.2
2000-09-01,"Kevyt polttoöljy, eur/MWh",54.4
2000-10-01,"Moottoribensiini 95 E 10, snt/l",115.0
2000-10-01,"Dieselöljy, snt/l",91.8
2000-10-01,"Kevyt polttoöljy, snt/l",53.1
2000-10-01,"Kevyt polttoöljy, eur/MWh",53.4
2000-11-01,"Moottoribensiini 95 E 10, snt/l",113.9
2000-11-01,"Dieselöljy, snt/l",92.7
2000-11-01,"Kevyt polttoöljy, snt/l",51.6
2000-11-01,"Kevyt polttoöljy, eur/MWh",51.9
2000-12-01,"Moottoribensiini 95 E 10, snt/l",104.9
2000-12-01,"Dieselöljy, snt/l",89.8
2000-12-01,"Kevyt polttoöljy, snt/l",47.3
2000-12-01,"Kevyt polttoöljy, eur/MWh",47.5
2001-01-01,"Moottoribensiini 95 E 10, snt/l",107.8
2001-01-01,"Dieselöljy, snt/l",83.4
2001-01-01,"Kevyt polttoöljy, snt/l",40.2
2001-01-01,"Kevyt polttoöljy, eur/MWh",40.4
2001-02-01,"Moottoribensiini 95 E 10, snt/l",111.3
2001-02-01,"Dieselöljy, snt/l",82.7
2001-02-01,"Kevyt polttoöljy, snt/l",42.7
2001-02-01,"Kevyt polttoöljy, eur/MWh",42.9
2001-03-01,"Moottoribensiini 95 E 10, snt/l",111.2
2001-03-01,"Dieselöljy, snt/l",82.2
2001-03-01,"Kevyt polttoöljy, snt/l",40.4
2001-03-01,"Kevyt polttoöljy, eur/MWh",40.6
2001-04-01,"Moottoribensiini 95 E 10, snt/l",112.3
2001-04-01,"Dieselöljy, snt/l",82.1
2001-04-01,"Kevyt polttoöljy, snt/l",40.4
2001-04-01,"Kevyt polttoöljy, eur/MWh",40.6
2001-05-01,"Moottoribensiini 95 E 10, snt/l",125.5
2001-05-01,"Dieselöljy, snt/l",83.1
2001-05-01,"Kevyt polttoöljy, snt/l",41.5
2001-05-01,"Kevyt polttoöljy, eur/MWh",41.7
2001-06-01,"Moottoribensiini 95 E 10, snt/l",117.6
2001-06-01,"Dieselöljy, snt/l",82.4
2001-06-01,"Kevyt polttoöljy, snt/l",44.1
2001-06-01,"Kevyt polttoöljy, eur/MWh",44.3
2001-07-01,"Moottoribensiini 95 E 10, snt/l",112.0
2001-07-01,"Dieselöljy, snt/l",82.7
2001-07-01,"Kevyt polttoöljy, snt/l",41.4
2001-07-01,"Kevyt polttoöljy, eur/MWh",41.6
2001-08-01,"Moottoribensiini 95 E 10, snt/l",111.3
2001-08-01,"Dieselöljy, snt/l",82.2
2001-08-01,"Kevyt polttoöljy, snt/l",40.7
2001-08-01,"Kevyt polttoöljy, eur/MWh",40.9
2001-09-01,"Moottoribensiini 95 E 10, snt/l",112.5
2001-09-01,"Dieselöljy, snt/l",82.4
2001-09-01,"Kevyt polttoöljy, snt/l",42.9
2001-09-01,"Kevyt polttoöljy, eur/MWh",43.1
2001-10-01,"Moottoribensiini 95 E 10, snt/l",106.1
2001-10-01,"Dieselöljy, snt/l",81.4
2001-10-01,"Kevyt polttoöljy, snt/l",38.0
2001-10-01,"Kevyt polttoöljy, eur/MWh",38.2
2001-11-01,"Moottoribensiini 95 E 10, snt/l",104.4
2001-11-01,"Dieselöljy, snt/l",79.9
2001-11-01,"Kevyt polttoöljy, snt/l",36.3
2001-11-01,"Kevyt polttoöljy, eur/MWh",36.5
2001-12-01,"Moottoribensiini 95 E 10, snt/l",98.4
2001-12-01,"Dieselöljy, snt/l",77.7
2001-12-01,"Kevyt polttoöljy, snt/l",32.3
2001-12-01,"Kevyt polttoöljy, eur/MWh",32.4
2002-01-01,"Moottoribensiini 95 E 10, snt/l",101.3
2002-01-01,"Dieselöljy, snt/l",79.1
2002-01-01,"Kevyt polttoöljy, snt/l",33.7
2002-01-01,"Kevyt polttoöljy, eur/MWh",33.9
2002-02-01,"Moottoribensiini 95 E 10, snt/l",100.4
2002-02-01,"Dieselöljy, snt/l",77.9
2002-02-01,"Kevyt polttoöljy, snt/l",34.0
2002-02-01,"Kevyt polttoöljy, eur/MWh",34.2
2002-03-01,"Moottoribensiini 95 E 10, snt/l",103.3
2002-03-01,"Dieselöljy, snt/l",77.9
2002-03-01,"Kevyt polttoöljy, snt/l",37.3
2002-03-01,"Kevyt polttoöljy, eur/MWh",37.5
2002-04-01,"Moottoribensiini 95 E 10, snt/l",113.5
2002-04-01,"Dieselöljy, snt/l",78.9
2002-04-01,"Kevyt polttoöljy, snt/l",37.1
2002-04-01,"Kevyt polttoöljy, eur/MWh",37.3
2002-05-01,"Moottoribensiini 95 E 10, snt/l",112.4
2002-05-01,"Dieselöljy, snt/l",78.4
2002-05-01,"Kevyt polttoöljy, snt/l",37.4
2002-05-01,"Kevyt polttoöljy, eur/MWh",37.6
2002-06-01,"Moottoribensiini 95 E 10, snt/l",107.4
2002-06-01,"Dieselöljy, snt/l",77.3
2002-06-01,"Kevyt polttoöljy, snt/l",34.8
2002-06-01,"Kevyt polttoöljy, eur/MWh",34.9
2002-07-01,"Moottoribensiini 95 E 10, snt/l",111.2
2002-07-01,"Dieselöljy, snt/l",77.1
2002-07-01,"Kevyt polttoöljy, snt/l",35.6
2002-07-01,"Kevyt polttoöljy, eur/MWh",35.8
2002-08-01,"Moottoribensiini 95 E 10, snt/l",109.1
2002-08-01,"Dieselöljy, snt/l",77.1
2002-08-01,"Kevyt polttoöljy, snt/l",36.5
2002-08-01,"Kevyt polttoöljy, eur/MWh",36.7
2002-09-01,"Moottoribensiini 95 E 10, snt/l",111.2
2002-09-01,"Dieselöljy, snt/l",79.6
2002-09-01,"Kevyt polttoöljy, snt/l",39.2
2002-09-01,"Kevyt polttoöljy, eur/MWh",39.4
2002-10-01,"Moottoribensiini 95 E 10, snt/l",111.3
2002-10-01,"Dieselöljy, snt/l",79.4
2002-10-01,"Kevyt polttoöljy, snt/l",39.8
2002-10-01,"Kevyt polttoöljy, eur/MWh",40.0
2002-11-01,"Moottoribensiini 95 E 10, snt/l",105.5
2002-11-01,"Dieselöljy, snt/l",78.6
2002-11-01,"Kevyt polttoöljy, snt/l",35.4
2002-11-01,"Kevyt polttoöljy, eur/MWh",35.5
2002-12-01,"Moottoribensiini 95 E 10, snt/l",103.6
2002-12-01,"Dieselöljy, snt/l",79.2
2002-12-01,"Kevyt polttoöljy, snt/l",38.8
2002-12-01,"Kevyt polttoöljy, eur/MWh",39.0
2003-01-01,"Moottoribensiini 95 E 10, snt/l",113.7
2003-01-01,"Dieselöljy, snt/l",84.2
2003-01-01,"Kevyt polttoöljy, snt/l",40.3
2003-01-01,"Kevyt polttoöljy, eur/MWh",40.5
2003-02-01,"Moottoribensiini 95 E 10, snt/l",115.1
2003-02-01,"Dieselöljy, snt/l",87.1
2003-02-01,"Kevyt polttoöljy, snt/l",45.9
2003-02-01,"Kevyt polttoöljy, eur/MWh",46.1
2003-03-01,"Moottoribensiini 95 E 10, snt/l",114.0
2003-03-01,"Dieselöljy, snt/l",95.0
2003-03-01,"Kevyt polttoöljy, snt/l",49.1
2003-03-01,"Kevyt polttoöljy, eur/MWh",49.3
2003-04-01,"Moottoribensiini 95 E 10, snt/l",113.1
2003-04-01,"Dieselöljy, snt/l",84.5
2003-04-01,"Kevyt polttoöljy, snt/l",36.7
2003-04-01,"Kevyt polttoöljy, eur/MWh",36.9
2003-05-01,"Moottoribensiini 95 E 10, snt/l",107.6
2003-05-01,"Dieselöljy, snt/l",76.6
2003-05-01,"Kevyt polttoöljy, snt/l",34.8
2003-05-01,"Kevyt polttoöljy, eur/MWh",34.9
2003-06-01,"Moottoribensiini 95 E 10, snt/l",110.4
2003-06-01,"Dieselöljy, snt/l",75.5
2003-06-01,"Kevyt polttoöljy, snt/l",36.1
2003-06-01,"Kevyt polttoöljy, eur/MWh",36.3
2003-07-01,"Moottoribensiini 95 E 10, snt/l",113.4
2003-07-01,"Dieselöljy, snt/l",78.7
2003-07-01,"Kevyt polttoöljy, snt/l",37.7
2003-07-01,"Kevyt polttoöljy, eur/MWh",37.9
2003-08-01,"Moottoribensiini 95 E 10, snt/l",109.9
2003-08-01,"Dieselöljy, snt/l",77.7
2003-08-01,"Kevyt polttoöljy, snt/l",38.3
2003-08-01,"Kevyt polttoöljy, eur/MWh",38.4
2003-09-01,"Moottoribensiini 95 E 10, snt/l",109.2
2003-09-01,"Dieselöljy, snt/l",78.0
2003-09-01,"Kevyt polttoöljy, snt/l",36.1
2003-09-01,"Kevyt polttoöljy, eur/MWh",36.2
2003-10-01,"Moottoribensiini 95 E 10, snt/l",102.5
2003-10-01,"Dieselöljy, snt/l",76.3
2003-10-01,"Kevyt polttoöljy, snt/l",39.0
2003-10-01,"Kevyt polttoöljy, eur/MWh",39.1
2003-11-01,"Moottoribensiini 95 E 10, snt/l",100.9
2003-11-01,"Dieselöljy, snt/l",78.6
2003-11-01,"Kevyt polttoöljy, snt/l",38.7
2003-11-01,"Kevyt polttoöljy, eur/MWh",38.8
2003-12-01,"Moottoribensiini 95 E 10, snt/l",103.8
2003-12-01,"Dieselöljy, snt/l",77.6
2003-12-01,"Kevyt polttoöljy, snt/l",37.0
2003-12-01,"Kevyt polttoöljy, eur/MWh",37.1
2004-01-01,"Moottoribensiini 95 E 10, snt/l",106.9
2004-01-01,"Dieselöljy, snt/l",78.9
2004-01-01,"Kevyt polttoöljy, snt/l",38.9
2004-01-01,"Kevyt polttoöljy, eur/MWh",39.1
2004-02-01,"Moottoribensiini 95 E 10, snt/l",107.6
2004-02-01,"Dieselöljy, snt/l",77.2
2004-02-01,"Kevyt polttoöljy, snt/l",35.6
2004-02-01,"Kevyt polttoöljy, eur/MWh",35.7
2004-03-01,"Moottoribensiini 95 E 10, snt/l",110.6
2004-03-01,"Dieselöljy, snt/l",79.9
2004-03-01,"Kevyt polttoöljy, snt/l",39.5
2004-03-01,"Kevyt polttoöljy, eur/MWh",39.7
2004-04-01,"Moottoribensiini 95 E 10, snt/l",114.2
2004-04-01,"Dieselöljy, snt/l",81.3
2004-04-01,"Kevyt polttoöljy, snt/l",41.4
2004-04-01,"Kevyt polttoöljy, eur/MWh",41.6
2004-05-01,"Moottoribensiini 95 E 10, snt/l",118.3
2004-05-01,"Dieselöljy, snt/l",84.9
2004-05-01,"Kevyt polttoöljy, snt/l",43.0
2004-05-01,"Kevyt polttoöljy, eur/MWh",43.2
2004-06-01,"Moottoribensiini 95 E 10, snt/l",113.6
2004-06-01,"Dieselöljy, snt/l",79.8
2004-06-01,"Kevyt polttoöljy, snt/l",42.7
2004-06-01,"Kevyt polttoöljy, eur/MWh",42.9
2004-07-01,"Moottoribensiini 95 E 10, snt/l",117.8
2004-07-01,"Dieselöljy, snt/l",83.1
2004-07-01,"Kevyt polttoöljy, snt/l",44.9
2004-07-01,"Kevyt polttoöljy, eur/MWh",45.1
2004-08-01,"Moottoribensiini 95 E 10, snt/l",116.7
2004-08-01,"Dieselöljy, snt/l",85.9
2004-08-01,"Kevyt polttoöljy, snt/l",48.0
2004-08-01,"Kevyt polttoöljy, eur/MWh",48.2
2004-09-01,"Moottoribensiini 95 E 10, snt/l",116.5
2004-09-01,"Dieselöljy, snt/l",88.0
2004-09-01,"Kevyt polttoöljy, snt/l",48.3
2004-09-01,"Kevyt polttoöljy, eur/MWh",48.6
2004-10-01,"Moottoribensiini 95 E 10, snt/l",120.0
2004-10-01,"Dieselöljy, snt/l",94.9
2004-10-01,"Kevyt polttoöljy, snt/l",55.9
2004-10-01,"Kevyt polttoöljy, eur/MWh",56.1
2004-11-01,"Moottoribensiini 95 E 10, snt/l",115.2
2004-11-01,"Dieselöljy, snt/l",92.6
2004-11-01,"Kevyt polttoöljy, snt/l",49.3
2004-11-01,"Kevyt polttoöljy, eur/MWh",49.6
2004-12-01,"Moottoribensiini 95 E 10, snt/l",111.2
2004-12-01,"Dieselöljy, snt/l",91.1
2004-12-01,"Kevyt polttoöljy, snt/l",44.9
2004-12-01,"Kevyt polttoöljy, eur/MWh",45.1
2005-01-01,"Moottoribensiini 95 E 10, snt/l",108.0
2005-01-01,"Dieselöljy, snt/l",87.8
2005-01-01,"Kevyt polttoöljy, snt/l",47.7
2005-01-01,"Kevyt polttoöljy, eur/MWh",48.0
2005-02-01,"Moottoribensiini 95 E 10, snt/l",112.0
2005-02-01,"Dieselöljy, snt/l",88.2
2005-02-01,"Kevyt polttoöljy, snt/l",48.1
2005-02-01,"Kevyt polttoöljy, eur/MWh",48.3
2005-03-01,"Moottoribensiini 95 E 10, snt/l",112.7
2005-03-01,"Dieselöljy, snt/l",93.4
2005-03-01,"Kevyt polttoöljy, snt/l",54.3
2005-03-01,"Kevyt polttoöljy, eur/MWh",54.6
2005-04-01,"Moottoribensiini 95 E 10, snt/l",120.6
2005-04-01,"Dieselöljy, snt/l",97.2
2005-04-01,"Kevyt polttoöljy, snt/l",53.8
2005-04-01,"Kevyt polttoöljy, eur/MWh",54.1
2005-05-01,"Moottoribensiini 95 E 10, snt/l",116.5
2005-05-01,"Dieselöljy, snt/l",93.1
2005-05-01,"Kevyt polttoöljy, snt/l",52.3
2005-05-01,"Kevyt polttoöljy, eur/MWh",52.5
2005-06-01,"Moottoribensiini 95 E 10, snt/l",120.6
2005-06-01,"Dieselöljy, snt/l",97.0
2005-06-01,"Kevyt polttoöljy, snt/l",60.7
2005-06-01,"Kevyt polttoöljy, eur/MWh",61.0
2005-07-01,"Moottoribensiini 95 E 10, snt/l",126.8
2005-07-01,"Dieselöljy, snt/l",98.4
2005-07-01,"Kevyt polttoöljy, snt/l",61.4
2005-07-01,"Kevyt polttoöljy, eur/MWh",61.7
2005-08-01,"Moottoribensiini 95 E 10, snt/l",128.6
2005-08-01,"Dieselöljy, snt/l",98.8
2005-08-01,"Kevyt polttoöljy, snt/l",63.2
2005-08-01,"Kevyt polttoöljy, eur/MWh",63.5
2005-09-01,"Moottoribensiini 95 E 10, snt/l",135.1
2005-09-01,"Dieselöljy, snt/l",104.4
2005-09-01,"Kevyt polttoöljy, snt/l",66.0
2005-09-01,"Kevyt polttoöljy, eur/MWh",66.3
2005-10-01,"Moottoribensiini 95 E 10, snt/l",130.3
2005-10-01,"Dieselöljy, snt/l",103.7
2005-10-01,"Kevyt polttoöljy, snt/l",68.4
2005-10-01,"Kevyt polttoöljy, eur/MWh",68.7
2005-11-01,"Moottoribensiini 95 E 10, snt/l",119.3
2005-11-01,"Dieselöljy, snt/l",99.7
2005-11-01,"Kevyt polttoöljy, snt/l",62.1
2005-11-01,"Kevyt polttoöljy, eur/MWh",62.3
2005-12-01,"Moottoribensiini 95 E 10, snt/l",123.0
2005-12-01,"Dieselöljy, snt/l",100.9
2005-12-01,"Kevyt polttoöljy, snt/l",60.7
2005-12-01,"Kevyt polttoöljy, eur/MWh",61.0
2006-01-01,"Moottoribensiini 95 E 10, snt/l",122.8
2006-01-01,"Dieselöljy, snt/l",99.6
2006-01-01,"Kevyt polttoöljy, snt/l",61.9
2006-01-01,"Kevyt polttoöljy, eur/MWh",62.2
2006-02-01,"Moottoribensiini 95 E 10, snt/l",126.8
2006-02-01,"Dieselöljy, snt/l",101.9
2006-02-01,"Kevyt polttoöljy, snt/l",62.7
2006-02-01,"Kevyt polttoöljy, eur/MWh",63.0
2006-03-01,"Moottoribensiini 95 E 10, snt/l",124.4
2006-03-01,"Dieselöljy, snt/l",101.8
2006-03-01,"Kevyt polttoöljy, snt/l",63.7
2006-03-01,"Kevyt polttoöljy, eur/MWh",64.0
2006-04-01,"Moottoribensiini 95 E 10, snt/l",132.3
2006-04-01,"Dieselöljy, snt/l",102.6
2006-04-01,"Kevyt polttoöljy, snt/l",67.5
2006-04-01,"Kevyt polttoöljy, eur/MWh",67.8
2006-05-01,"Moottoribensiini 95 E 10, snt/l",136.4
2006-05-01,"Dieselöljy, snt/l",105.1
2006-05-01,"Kevyt polttoöljy, snt/l",69.3
2006-05-01,"Kevyt polttoöljy, eur/MWh",69.6
2006-06-01,"Moottoribensiini 95 E 10, snt/l",133.3
2006-06-01,"Dieselöljy, snt/l",103.1
2006-06-01,"Kevyt polttoöljy, snt/l",67.8
2006-06-01,"Kevyt polttoöljy, eur/MWh",68.1
2006-07-01,"Moottoribensiini 95 E 10, snt/l",138.5
2006-07-01,"Dieselöljy, snt/l",104.4
2006-07-01,"Kevyt polttoöljy, snt/l",68.4
2006-07-01,"Kevyt polttoöljy, eur/MWh",68.7
2006-08-01,"Moottoribensiini 95 E 10, snt/l",137.5
2006-08-01,"Dieselöljy, snt/l",105.8
2006-08-01,"Kevyt polttoöljy, snt/l",71.2
2006-08-01,"Kevyt polttoöljy, eur/MWh",71.5
2006-09-01,"Moottoribensiini 95 E 10, snt/l",126.3
2006-09-01,"Dieselöljy, snt/l",101.6
2006-09-01,"Kevyt polttoöljy, snt/l",62.3
2006-09-01,"Kevyt polttoöljy, eur/MWh",62.6
2006-10-01,"Moottoribensiini 95 E 10, snt/l",122.9
2006-10-01,"Dieselöljy, snt/l",99.3
2006-10-01,"Kevyt polttoöljy, snt/l",60.1
2006-10-01,"Kevyt polttoöljy, eur/MWh",60.4
2006-11-01,"Moottoribensiini 95 E 10, snt/l",122.8
2006-11-01,"Dieselöljy, snt/l",101.6
2006-11-01,"Kevyt polttoöljy, snt/l",58.6
2006-11-01,"Kevyt polttoöljy, eur/MWh",58.9
2006-12-01,"Moottoribensiini 95 E 10, snt/l",121.4
2006-12-01,"Dieselöljy, snt/l",100.1
2006-12-01,"Kevyt polttoöljy, snt/l",58.3
2006-12-01,"Kevyt polttoöljy, eur/MWh",58.6
2007-01-01,"Moottoribensiini 95 E 10, snt/l",116.3
2007-01-01,"Dieselöljy, snt/l",95.8
2007-01-01,"Kevyt polttoöljy, snt/l",54.5
2007-01-01,"Kevyt polttoöljy, eur/MWh",54.8
2007-02-01,"Moottoribensiini 95 E 10, snt/l",120.5
2007-02-01,"Dieselöljy, snt/l",97.7
2007-02-01,"Kevyt polttoöljy, snt/l",56.8
2007-02-01,"Kevyt polttoöljy, eur/MWh",57.1
2007-03-01,"Moottoribensiini 95 E 10, snt/l",126.4
2007-03-01,"Dieselöljy, snt/l",98.8
2007-03-01,"Kevyt polttoöljy, snt/l",58.1
2007-03-01,"Kevyt polttoöljy, eur/MWh",58.4
2007-04-01,"Moottoribensiini 95 E 10, snt/l",128.4
2007-04-01,"Dieselöljy, snt/l",98.7
2007-04-01,"Kevyt polttoöljy, snt/l",61.2
2007-04-01,"Kevyt polttoöljy, eur/MWh",61.4
2007-05-01,"Moottoribensiini 95 E 10, snt/l",135.6
2007-05-01,"Dieselöljy, snt/l",97.7
2007-05-01,"Kevyt polttoöljy, snt/l",60.5
2007-05-01,"Kevyt polttoöljy, eur/MWh",60.8
2007-06-01,"Moottoribensiini 95 E 10, snt/l",135.4
2007-06-01,"Dieselöljy, snt/l",99.6
2007-06-01,"Kevyt polttoöljy, snt/l",62.5
2007-06-01,"Kevyt polttoöljy, eur/MWh",62.8
2007-07-01,"Moottoribensiini 95 E 10, snt/l",135.9
2007-07-01,"Dieselöljy, snt/l",101.1
2007-07-01,"Kevyt polttoöljy, snt/l",65.4
2007-07-01,"Kevyt polttoöljy, eur/MWh",65.7
2007-08-01,"Moottoribensiini 95 E 10, snt/l",132.4
2007-08-01,"Dieselöljy, snt/l",100.7
2007-08-01,"Kevyt polttoöljy, snt/l",63.4
2007-08-01,"Kevyt polttoöljy, eur/MWh",63.7
2007-09-01,"Moottoribensiini 95 E 10, snt/l",131.4
2007-09-01,"Dieselöljy, snt/l",101.7
2007-09-01,"Kevyt polttoöljy, snt/l",67.1
2007-09-01,"Kevyt polttoöljy, eur/MWh",67.4
2007-10-01,"Moottoribensiini 95 E 10, snt/l",128.0
2007-10-01,"Dieselöljy, snt/l",102.1
2007-10-01,"Kevyt polttoöljy, snt/l",67.1
