"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1996M11","Kevyt polttoöljy, snt/l",28.8,28.6
"1996M11","Kevyt polttoöljy, eur/MWh",28.9,28.4
"1996M12","Moottoribensiini 95 E 10, snt/l",94.5,17.8
"1996M12","Dieselöljy, snt/l",66.6,10.9
"1996M12","Kevyt polttoöljy, snt/l",29.6,23.1
"1996M12","Kevyt polttoöljy, eur/MWh",29.7,22.7
"1997M01","Moottoribensiini 95 E 10, snt/l",93.2,3.6
"1997M01","Dieselöljy, snt/l",65.8,8.6
"1997M01","Kevyt polttoöljy, snt/l",33.5,32.7
"1997M01","Kevyt polttoöljy, eur/MWh",33.6,32.8
"1997M02","Moottoribensiini 95 E 10, snt/l",90.2,0.9
"1997M02","Dieselöljy, snt/l",64.8,5.2
"1997M02","Kevyt polttoöljy, snt/l",30.8,15.8
"1997M02","Kevyt polttoöljy, eur/MWh",30.9,15.7
"1997M03","Moottoribensiini 95 E 10, snt/l",92.0,3.6
"1997M03","Dieselöljy, snt/l",64.3,3.2
"1997M03","Kevyt polttoöljy, snt/l",29.4,13.6
"1997M03","Kevyt polttoöljy, eur/MWh",29.6,13.8
"1997M04","Moottoribensiini 95 E 10, snt/l",91.2,-2.2
"1997M04","Dieselöljy, snt/l",63.4,0.5
"1997M04","Kevyt polttoöljy, snt/l",29.1,9.5
"1997M04","Kevyt polttoöljy, eur/MWh",29.2,9.4
"1997M05","Moottoribensiini 95 E 10, snt/l",92.3,-0.7
"1997M05","Dieselöljy, snt/l",62.2,-0.8
"1997M05","Kevyt polttoöljy, snt/l",29.3,11.5
"1997M05","Kevyt polttoöljy, eur/MWh",29.4,11.4
"1997M06","Moottoribensiini 95 E 10, snt/l",92.0,-0.5
"1997M06","Dieselöljy, snt/l",62.1,-0.5
"1997M06","Kevyt polttoöljy, snt/l",28.3,11.3
"1997M06","Kevyt polttoöljy, eur/MWh",28.4,11.4
"1997M07","Moottoribensiini 95 E 10, snt/l",93.2,-0.5
"1997M07","Dieselöljy, snt/l",62.2,-1.1
"1997M07","Kevyt polttoöljy, snt/l",28.6,10.4
"1997M07","Kevyt polttoöljy, eur/MWh",28.7,10.4
"1997M08","Moottoribensiini 95 E 10, snt/l",96.2,4.2
"1997M08","Dieselöljy, snt/l",64.6,3.8
"1997M08","Kevyt polttoöljy, snt/l",29.9,17.9
"1997M08","Kevyt polttoöljy, eur/MWh",30.1,18.0
"1997M09","Moottoribensiini 95 E 10, snt/l",92.7,3.0
"1997M09","Dieselöljy, snt/l",64.1,1.6
"1997M09","Kevyt polttoöljy, snt/l",28.9,3.6
"1997M09","Kevyt polttoöljy, eur/MWh",29.1,3.9
"1997M10","Moottoribensiini 95 E 10, snt/l",94.0,1.5
"1997M10","Dieselöljy, snt/l",64.1,-2.6
"1997M10","Kevyt polttoöljy, snt/l",30.3,-1.7
"1997M10","Kevyt polttoöljy, eur/MWh",30.4,-1.6
"1997M11","Moottoribensiini 95 E 10, snt/l",92.0,-2.0
"1997M11","Dieselöljy, snt/l",64.6,-1.5
"1997M11","Kevyt polttoöljy, snt/l",29.3,1.7
"1997M11","Kevyt polttoöljy, eur/MWh",29.4,1.7
"1997M12","Moottoribensiini 95 E 10, snt/l",92.8,-1.8
"1997M12","Dieselöljy, snt/l",64.9,-2.5
"1997M12","Kevyt polttoöljy, snt/l",28.3,-4.5
"1997M12","Kevyt polttoöljy, eur/MWh",28.4,-4.4
"1998M01","Moottoribensiini 95 E 10, snt/l",96.4,3.4
"1998M01","Dieselöljy, snt/l",66.9,1.8
"1998M01","Kevyt polttoöljy, snt/l",27.9,-16.6
"1998M01","Kevyt polttoöljy, eur/MWh",28.0,-16.7
"1998M02","Moottoribensiini 95 E 10, snt/l",95.5,6.0
"1998M02","Dieselöljy, snt/l",65.1,0.5
"1998M02","Kevyt polttoöljy, snt/l",27.6,-10.4
"1998M02","Kevyt polttoöljy, eur/MWh",27.7,-10.4
"1998M03","Moottoribensiini 95 E 10, snt/l",95.0,3.3
"1998M03","Dieselöljy, snt/l",65.9,2.6
"1998M03","Kevyt polttoöljy, snt/l",26.9,-8.6
"1998M03","Kevyt polttoöljy, eur/MWh",27.0,-8.8
"1998M04","Moottoribensiini 95 E 10, snt/l",94.9,4.1
"1998M04","Dieselöljy, snt/l",64.9,2.4
"1998M04","Kevyt polttoöljy, snt/l",27.4,-5.8
"1998M04","Kevyt polttoöljy, eur/MWh",27.5,-5.8
"1998M05","Moottoribensiini 95 E 10, snt/l",93.2,0.9
"1998M05","Dieselöljy, snt/l",63.1,1.3
"1998M05","Kevyt polttoöljy, snt/l",26.4,-9.7
"1998M05","Kevyt polttoöljy, eur/MWh",26.5,-9.9
"1998M06","Moottoribensiini 95 E 10, snt/l",95.2,3.5
"1998M06","Dieselöljy, snt/l",63.1,1.6
"1998M06","Kevyt polttoöljy, snt/l",25.2,-10.7
"1998M06","Kevyt polttoöljy, eur/MWh",25.3,-10.9
"1998M07","Moottoribensiini 95 E 10, snt/l",95.0,2.0
"1998M07","Dieselöljy, snt/l",62.9,1.1
"1998M07","Kevyt polttoöljy, snt/l",24.7,-13.5
"1998M07","Kevyt polttoöljy, eur/MWh",24.8,-13.6
"1998M08","Moottoribensiini 95 E 10, snt/l",94.5,-1.7
"1998M08","Dieselöljy, snt/l",62.9,-2.6
"1998M08","Kevyt polttoöljy, snt/l",24.2,-19.1
"1998M08","Kevyt polttoöljy, eur/MWh",24.3,-19.3
"1998M09","Moottoribensiini 95 E 10, snt/l",94.9,2.4
"1998M09","Dieselöljy, snt/l",62.9,-1.8
"1998M09","Kevyt polttoöljy, snt/l",25.9,-10.5
"1998M09","Kevyt polttoöljy, eur/MWh",26.0,-10.7
"1998M10","Moottoribensiini 95 E 10, snt/l",90.5,-3.8
"1998M10","Dieselöljy, snt/l",62.4,-2.6
"1998M10","Kevyt polttoöljy, snt/l",25.4,-16.1
"1998M10","Kevyt polttoöljy, eur/MWh",25.5,-16.1
"1998M11","Moottoribensiini 95 E 10, snt/l",88.0,-4.4
"1998M11","Dieselöljy, snt/l",63.1,-2.3
"1998M11","Kevyt polttoöljy, snt/l",24.6,-16.1
"1998M11","Kevyt polttoöljy, eur/MWh",24.7,-16.0
"1998M12","Moottoribensiini 95 E 10, snt/l",86.8,-6.5
"1998M12","Dieselöljy, snt/l",62.9,-3.1
"1998M12","Kevyt polttoöljy, snt/l",22.9,-19.1
"1998M12","Kevyt polttoöljy, eur/MWh",23.0,-19.0
"1999M01","Moottoribensiini 95 E 10, snt/l",86.5,-10.3
"1999M01","Dieselöljy, snt/l",62.6,-6.5
"1999M01","Kevyt polttoöljy, snt/l",24.6,-12.0
"1999M01","Kevyt polttoöljy, eur/MWh",24.7,-11.8
"1999M02","Moottoribensiini 95 E 10, snt/l",91.2,-4.6
"1999M02","Dieselöljy, snt/l",63.4,-2.6
"1999M02","Kevyt polttoöljy, snt/l",24.1,-12.8
"1999M02","Kevyt polttoöljy, eur/MWh",24.2,-12.6
"1999M03","Moottoribensiini 95 E 10, snt/l",92.2,-3.0
"1999M03","Dieselöljy, snt/l",63.1,-4.3
"1999M03","Kevyt polttoöljy, snt/l",25.9,-3.8
"1999M03","Kevyt polttoöljy, eur/MWh",26.0,-3.7
"1999M04","Moottoribensiini 95 E 10, snt/l",99.1,4.4
"1999M04","Dieselöljy, snt/l",65.3,0.5
"1999M04","Kevyt polttoöljy, snt/l",27.4,0.0
"1999M04","Kevyt polttoöljy, eur/MWh",27.5,0.0
"1999M05","Moottoribensiini 95 E 10, snt/l",98.1,5.2
"1999M05","Dieselöljy, snt/l",65.9,4.5
"1999M05","Kevyt polttoöljy, snt/l",27.3,3.2
"1999M05","Kevyt polttoöljy, eur/MWh",27.4,3.4
"1999M06","Moottoribensiini 95 E 10, snt/l",99.6,4.6
"1999M06","Dieselöljy, snt/l",65.3,3.5
"1999M06","Kevyt polttoöljy, snt/l",26.6,5.3
"1999M06","Kevyt polttoöljy, eur/MWh",26.7,5.5
"1999M07","Moottoribensiini 95 E 10, snt/l",100.1,5.3
"1999M07","Dieselöljy, snt/l",68.5,8.8
"1999M07","Kevyt polttoöljy, snt/l",29.9,21.1
"1999M07","Kevyt polttoöljy, eur/MWh",30.1,21.4
"1999M08","Moottoribensiini 95 E 10, snt/l",105.8,11.9
"1999M08","Dieselöljy, snt/l",71.1,13.1
"1999M08","Kevyt polttoöljy, snt/l",30.1,24.3
"1999M08","Kevyt polttoöljy, eur/MWh",30.2,24.3
"1999M09","Moottoribensiini 95 E 10, snt/l",105.0,10.6
"1999M09","Dieselöljy, snt/l",70.8,12.6
"1999M09","Kevyt polttoöljy, snt/l",32.1,24.0
"1999M09","Kevyt polttoöljy, eur/MWh",32.3,24.2
"1999M10","Moottoribensiini 95 E 10, snt/l",103.3,14.1
"1999M10","Dieselöljy, snt/l",70.1,12.4
"1999M10","Kevyt polttoöljy, snt/l",31.5,23.8
"1999M10","Kevyt polttoöljy, eur/MWh",31.6,23.9
"1999M11","Moottoribensiini 95 E 10, snt/l",104.6,18.9
"1999M11","Dieselöljy, snt/l",73.2,16.0
"1999M11","Kevyt polttoöljy, snt/l",33.6,37.0
"1999M11","Kevyt polttoöljy, eur/MWh",33.8,36.8
"1999M12","Moottoribensiini 95 E 10, snt/l",108.3,24.8
"1999M12","Dieselöljy, snt/l",78.9,25.4
"1999M12","Kevyt polttoöljy, snt/l",35.8,56.6
"1999M12","Kevyt polttoöljy, eur/MWh",36.0,56.5
"2000M01","Moottoribensiini 95 E 10, snt/l",107.1,23.9
"2000M01","Dieselöljy, snt/l",81.7,30.6
"2000M01","Kevyt polttoöljy, snt/l",35.7,45.2
"2000M01","Kevyt polttoöljy, eur/MWh",35.8,44.9
"2000M02","Moottoribensiini 95 E 10, snt/l",107.3,17.7
"2000M02","Dieselöljy, snt/l",81.1,27.8
"2000M02","Kevyt polttoöljy, snt/l",37.5,55.9
"2000M02","Kevyt polttoöljy, eur/MWh",37.7,55.8
"2000M03","Moottoribensiini 95 E 10, snt/l",114.0,23.7
"2000M03","Dieselöljy, snt/l",83.1,31.7
"2000M03","Kevyt polttoöljy, snt/l",38.7,49.4
"2000M03","Kevyt polttoöljy, eur/MWh",38.9,49.6
"2000M04","Moottoribensiini 95 E 10, snt/l",109.8,10.9
"2000M04","Dieselöljy, snt/l",80.7,23.7
"2000M04","Kevyt polttoöljy, snt/l",36.2,31.9
"2000M04","Kevyt polttoöljy, eur/MWh",36.3,32.0
"2000M05","Moottoribensiini 95 E 10, snt/l",114.4,16.6
"2000M05","Dieselöljy, snt/l",80.9,22.7
"2000M05","Kevyt polttoöljy, snt/l",40.5,48.7
"2000M05","Kevyt polttoöljy, eur/MWh",40.7,48.5
"2000M06","Moottoribensiini 95 E 10, snt/l",123.6,24.2
"2000M06","Dieselöljy, snt/l",82.7,26.8
"2000M06","Kevyt polttoöljy, snt/l",39.4,48.1
"2000M06","Kevyt polttoöljy, eur/MWh",39.5,47.9
"2000M07","Moottoribensiini 95 E 10, snt/l",118.4,18.3
"2000M07","Dieselöljy, snt/l",81.4,18.9
"2000M07","Kevyt polttoöljy, snt/l",41.0,37.1
"2000M07","Kevyt polttoöljy, eur/MWh",41.2,36.9
"2000M08","Moottoribensiini 95 E 10, snt/l",115.7,9.4
"2000M08","Dieselöljy, snt/l",82.7,16.3
"2000M08","Kevyt polttoöljy, snt/l",44.4,47.5
"2000M08","Kevyt polttoöljy, eur/MWh",44.6,47.7
"2000M09","Moottoribensiini 95 E 10, snt/l",117.4,11.9
"2000M09","Dieselöljy, snt/l",91.7,29.4
"2000M09","Kevyt polttoöljy, snt/l",54.2,68.6
"2000M09","Kevyt polttoöljy, eur/MWh",54.4,68.4
"2000M10","Moottoribensiini 95 E 10, snt/l",115.0,11.4
"2000M10","Dieselöljy, snt/l",91.8,30.9
"2000M10","Kevyt polttoöljy, snt/l",53.1,69.0
"2000M10","Kevyt polttoöljy, eur/MWh",53.4,69.0
"2000M11","Moottoribensiini 95 E 10, snt/l",113.9,8.8
"2000M11","Dieselöljy, snt/l",92.7,26.7
"2000M11","Kevyt polttoöljy, snt/l",51.6,53.5
"2000M11","Kevyt polttoöljy, eur/MWh",51.9,53.6
"2000M12","Moottoribensiini 95 E 10, snt/l",104.9,-3.1
"2000M12","Dieselöljy, snt/l",89.8,13.9
"2000M12","Kevyt polttoöljy, snt/l",47.3,31.9
"2000M12","Kevyt polttoöljy, eur/MWh",47.5,31.9
"2001M01","Moottoribensiini 95 E 10, snt/l",107.8,0.6
"2001M01","Dieselöljy, snt/l",83.4,2.1
"2001M01","Kevyt polttoöljy, snt/l",40.2,12.7
"2001M01","Kevyt polttoöljy, eur/MWh",40.4,12.8
"2001M02","Moottoribensiini 95 E 10, snt/l",111.3,3.8
"2001M02","Dieselöljy, snt/l",82.7,2.1
"2001M02","Kevyt polttoöljy, snt/l",42.7,13.9
"2001M02","Kevyt polttoöljy, eur/MWh",42.9,13.8
"2001M03","Moottoribensiini 95 E 10, snt/l",111.2,-2.5
"2001M03","Dieselöljy, snt/l",82.2,-1.0
"2001M03","Kevyt polttoöljy, snt/l",40.4,4.3
"2001M03","Kevyt polttoöljy, eur/MWh",40.6,4.4
"2001M04","Moottoribensiini 95 E 10, snt/l",112.3,2.3
"2001M04","Dieselöljy, snt/l",82.1,1.7
"2001M04","Kevyt polttoöljy, snt/l",40.4,11.6
"2001M04","Kevyt polttoöljy, eur/MWh",40.6,11.8
"2001M05","Moottoribensiini 95 E 10, snt/l",125.5,9.7
"2001M05","Dieselöljy, snt/l",83.1,2.7
"2001M05","Kevyt polttoöljy, snt/l",41.5,2.5
"2001M05","Kevyt polttoöljy, eur/MWh",41.7,2.5
"2001M06","Moottoribensiini 95 E 10, snt/l",117.6,-4.9
"2001M06","Dieselöljy, snt/l",82.4,-0.4
"2001M06","Kevyt polttoöljy, snt/l",44.1,12.0
"2001M06","Kevyt polttoöljy, eur/MWh",44.3,12.2
"2001M07","Moottoribensiini 95 E 10, snt/l",112.0,-5.4
"2001M07","Dieselöljy, snt/l",82.7,1.7
"2001M07","Kevyt polttoöljy, snt/l",41.4,0.8
"2001M07","Kevyt polttoöljy, eur/MWh",41.6,1.0
"2001M08","Moottoribensiini 95 E 10, snt/l",111.3,-3.8
"2001M08","Dieselöljy, snt/l",82.2,-0.6
"2001M08","Kevyt polttoöljy, snt/l",40.7,-8.3
"2001M08","Kevyt polttoöljy, eur/MWh",40.9,-8.3
"2001M09","Moottoribensiini 95 E 10, snt/l",112.5,-4.2
"2001M09","Dieselöljy, snt/l",82.4,-10.1
"2001M09","Kevyt polttoöljy, snt/l",42.9,-20.8
"2001M09","Kevyt polttoöljy, eur/MWh",43.1,-20.8
"2001M10","Moottoribensiini 95 E 10, snt/l",106.1,-7.7
"2001M10","Dieselöljy, snt/l",81.4,-11.4
"2001M10","Kevyt polttoöljy, snt/l",38.0,-28.5
"2001M10","Kevyt polttoöljy, eur/MWh",38.2,-28.5
"2001M11","Moottoribensiini 95 E 10, snt/l",104.4,-8.3
"2001M11","Dieselöljy, snt/l",79.9,-13.8
"2001M11","Kevyt polttoöljy, snt/l",36.3,-29.6
"2001M11","Kevyt polttoöljy, eur/MWh",36.5,-29.7
"2001M12","Moottoribensiini 95 E 10, snt/l",98.4,-6.3
"2001M12","Dieselöljy, snt/l",77.7,-13.5
"2001M12","Kevyt polttoöljy, snt/l",32.3,-31.7
"2001M12","Kevyt polttoöljy, eur/MWh",32.4,-31.8
"2002M01","Moottoribensiini 95 E 10, snt/l",101.3,-6.0
"2002M01","Dieselöljy, snt/l",79.1,-5.2
"2002M01","Kevyt polttoöljy, snt/l",33.7,-16.1
"2002M01","Kevyt polttoöljy, eur/MWh",33.9,-16.1
"2002M02","Moottoribensiini 95 E 10, snt/l",100.4,-9.8
"2002M02","Dieselöljy, snt/l",77.9,-5.9
"2002M02","Kevyt polttoöljy, snt/l",34.0,-20.4
"2002M02","Kevyt polttoöljy, eur/MWh",34.2,-20.3
"2002M03","Moottoribensiini 95 E 10, snt/l",103.3,-7.1
"2002M03","Dieselöljy, snt/l",77.9,-5.2
"2002M03","Kevyt polttoöljy, snt/l",37.3,-7.6
"2002M03","Kevyt polttoöljy, eur/MWh",37.5,-7.6
"2002M04","Moottoribensiini 95 E 10, snt/l",113.5,1.1
"2002M04","Dieselöljy, snt/l",78.9,-3.8
"2002M04","Kevyt polttoöljy, snt/l",37.1,-8.0
"2002M04","Kevyt polttoöljy, eur/MWh",37.3,-8.1
"2002M05","Moottoribensiini 95 E 10, snt/l",112.4,-10.4
"2002M05","Dieselöljy, snt/l",78.4,-5.6
"2002M05","Kevyt polttoöljy, snt/l",37.4,-9.9
"2002M05","Kevyt polttoöljy, eur/MWh",37.6,-9.8
"2002M06","Moottoribensiini 95 E 10, snt/l",107.4,-8.7
"2002M06","Dieselöljy, snt/l",77.3,-6.2
"2002M06","Kevyt polttoöljy, snt/l",34.8,-21.1
"2002M06","Kevyt polttoöljy, eur/MWh",34.9,-21.2
"2002M07","Moottoribensiini 95 E 10, snt/l",111.2,-0.7
"2002M07","Dieselöljy, snt/l",77.1,-6.9
"2002M07","Kevyt polttoöljy, snt/l",35.6,-13.9
"2002M07","Kevyt polttoöljy, eur/MWh",35.8,-13.9
"2002M08","Moottoribensiini 95 E 10, snt/l",109.1,-2.0
"2002M08","Dieselöljy, snt/l",77.1,-6.2
"2002M08","Kevyt polttoöljy, snt/l",36.5,-10.2
"2002M08","Kevyt polttoöljy, eur/MWh",36.7,-10.3
"2002M09","Moottoribensiini 95 E 10, snt/l",111.2,-1.1
"2002M09","Dieselöljy, snt/l",79.6,-3.4
"2002M09","Kevyt polttoöljy, snt/l",39.2,-8.5
"2002M09","Kevyt polttoöljy, eur/MWh",39.4,-8.6
"2002M10","Moottoribensiini 95 E 10, snt/l",111.3,4.9
"2002M10","Dieselöljy, snt/l",79.4,-2.4
"2002M10","Kevyt polttoöljy, snt/l",39.8,4.7
"2002M10","Kevyt polttoöljy, eur/MWh",40.0,4.7
"2002M11","Moottoribensiini 95 E 10, snt/l",105.5,1.0
"2002M11","Dieselöljy, snt/l",78.6,-1.7
"2002M11","Kevyt polttoöljy, snt/l",35.4,-2.6
"2002M11","Kevyt polttoöljy, eur/MWh",35.5,-2.7
"2002M12","Moottoribensiini 95 E 10, snt/l",103.6,5.3
"2002M12","Dieselöljy, snt/l",79.2,2.0
"2002M12","Kevyt polttoöljy, snt/l",38.8,20.1
"2002M12","Kevyt polttoöljy, eur/MWh",39.0,20.4
"2003M01","Moottoribensiini 95 E 10, snt/l",113.7,12.2
"2003M01","Dieselöljy, snt/l",84.2,6.5
"2003M01","Kevyt polttoöljy, snt/l",40.3,19.6
"2003M01","Kevyt polttoöljy, eur/MWh",40.5,19.5
"2003M02","Moottoribensiini 95 E 10, snt/l",115.1,14.7
"2003M02","Dieselöljy, snt/l",87.1,11.9
"2003M02","Kevyt polttoöljy, snt/l",45.9,34.9
"2003M02","Kevyt polttoöljy, eur/MWh",46.1,34.8
"2003M03","Moottoribensiini 95 E 10, snt/l",114.0,10.3
"2003M03","Dieselöljy, snt/l",95.0,21.9
"2003M03","Kevyt polttoöljy, snt/l",49.1,31.5
"2003M03","Kevyt polttoöljy, eur/MWh",49.3,31.5
"2003M04","Moottoribensiini 95 E 10, snt/l",113.1,-0.4
"2003M04","Dieselöljy, snt/l",84.5,7.0
"2003M04","Kevyt polttoöljy, snt/l",36.7,-1.2
"2003M04","Kevyt polttoöljy, eur/MWh",36.9,-1.1
"2003M05","Moottoribensiini 95 E 10, snt/l",107.6,-4.2
"2003M05","Dieselöljy, snt/l",76.6,-2.3
"2003M05","Kevyt polttoöljy, snt/l",34.8,-7.1
"2003M05","Kevyt polttoöljy, eur/MWh",34.9,-7.2
"2003M06","Moottoribensiini 95 E 10, snt/l",110.4,2.8
"2003M06","Dieselöljy, snt/l",75.5,-2.4
"2003M06","Kevyt polttoöljy, snt/l",36.1,3.9
"2003M06","Kevyt polttoöljy, eur/MWh",36.3,4.0
"2003M07","Moottoribensiini 95 E 10, snt/l",113.4,2.0
"2003M07","Dieselöljy, snt/l",78.7,2.1
"2003M07","Kevyt polttoöljy, snt/l",37.7,5.9
"2003M07","Kevyt polttoöljy, eur/MWh",37.9,5.9
"2003M08","Moottoribensiini 95 E 10, snt/l",109.9,0.8
"2003M08","Dieselöljy, snt/l",77.7,0.8
"2003M08","Kevyt polttoöljy, snt/l",38.3,4.7
"2003M08","Kevyt polttoöljy, eur/MWh",38.4,4.6
"2003M09","Moottoribensiini 95 E 10, snt/l",109.2,-1.8
"2003M09","Dieselöljy, snt/l",78.0,-2.0
"2003M09","Kevyt polttoöljy, snt/l",36.1,-8.1
"2003M09","Kevyt polttoöljy, eur/MWh",36.2,-8.1
"2003M10","Moottoribensiini 95 E 10, snt/l",102.5,-7.9
"2003M10","Dieselöljy, snt/l",76.3,-4.0
"2003M10","Kevyt polttoöljy, snt/l",39.0,-2.1
"2003M10","Kevyt polttoöljy, eur/MWh",39.1,-2.3
"2003M11","Moottoribensiini 95 E 10, snt/l",100.9,-4.4
"2003M11","Dieselöljy, snt/l",78.6,0.0
"2003M11","Kevyt polttoöljy, snt/l",38.7,9.3
"2003M11","Kevyt polttoöljy, eur/MWh",38.8,9.3
"2003M12","Moottoribensiini 95 E 10, snt/l",103.8,0.1
"2003M12","Dieselöljy, snt/l",77.6,-2.1
"2003M12","Kevyt polttoöljy, snt/l",37.0,-4.7
"2003M12","Kevyt polttoöljy, eur/MWh",37.1,-4.9
"2004M01","Moottoribensiini 95 E 10, snt/l",106.9,-6.0
"2004M01","Dieselöljy, snt/l",78.9,-6.3
"2004M01","Kevyt polttoöljy, snt/l",38.9,-3.6
"2004M01","Kevyt polttoöljy, eur/MWh",39.1,-3.5
"2004M02","Moottoribensiini 95 E 10, snt/l",107.6,-6.6
"2004M02","Dieselöljy, snt/l",77.2,-11.4
"2004M02","Kevyt polttoöljy, snt/l",35.6,-22.5
"2004M02","Kevyt polttoöljy, eur/MWh",35.7,-22.6
"2004M03","Moottoribensiini 95 E 10, snt/l",110.6,-3.0
"2004M03","Dieselöljy, snt/l",79.9,-15.8
"2004M03","Kevyt polttoöljy, snt/l",39.5,-19.4
"2004M03","Kevyt polttoöljy, eur/MWh",39.7,-19.5
"2004M04","Moottoribensiini 95 E 10, snt/l",114.2,0.9
"2004M04","Dieselöljy, snt/l",81.3,-3.8
"2004M04","Kevyt polttoöljy, snt/l",41.4,12.8
"2004M04","Kevyt polttoöljy, eur/MWh",41.6,12.7
"2004M05","Moottoribensiini 95 E 10, snt/l",118.3,9.9
"2004M05","Dieselöljy, snt/l",84.9,10.9
"2004M05","Kevyt polttoöljy, snt/l",43.0,23.8
"2004M05","Kevyt polttoöljy, eur/MWh",43.2,23.8
"2004M06","Moottoribensiini 95 E 10, snt/l",113.6,2.9
"2004M06","Dieselöljy, snt/l",79.8,5.7
"2004M06","Kevyt polttoöljy, snt/l",42.7,18.2
"2004M06","Kevyt polttoöljy, eur/MWh",42.9,18.2
"2004M07","Moottoribensiini 95 E 10, snt/l",117.8,3.8
"2004M07","Dieselöljy, snt/l",83.1,5.6
"2004M07","Kevyt polttoöljy, snt/l",44.9,19.1
"2004M07","Kevyt polttoöljy, eur/MWh",45.1,19.0
"2004M08","Moottoribensiini 95 E 10, snt/l",116.7,6.2
"2004M08","Dieselöljy, snt/l",85.9,10.5
"2004M08","Kevyt polttoöljy, snt/l",48.0,25.3
"2004M08","Kevyt polttoöljy, eur/MWh",48.2,25.5
"2004M09","Moottoribensiini 95 E 10, snt/l",116.5,6.7
"2004M09","Dieselöljy, snt/l",88.0,12.8
"2004M09","Kevyt polttoöljy, snt/l",48.3,34.1
"2004M09","Kevyt polttoöljy, eur/MWh",48.6,34.3
"2004M10","Moottoribensiini 95 E 10, snt/l",120.0,17.1
"2004M10","Dieselöljy, snt/l",94.9,24.5
"2004M10","Kevyt polttoöljy, snt/l",55.9,43.5
"2004M10","Kevyt polttoöljy, eur/MWh",56.1,43.5
"2004M11","Moottoribensiini 95 E 10, snt/l",115.2,14.2
"2004M11","Dieselöljy, snt/l",92.6,17.8
"2004M11","Kevyt polttoöljy, snt/l",49.3,27.6
"2004M11","Kevyt polttoöljy, eur/MWh",49.6,27.8
"2004M12","Moottoribensiini 95 E 10, snt/l",111.2,7.2
"2004M12","Dieselöljy, snt/l",91.1,17.4
"2004M12","Kevyt polttoöljy, snt/l",44.9,21.6
"2004M12","Kevyt polttoöljy, eur/MWh",45.1,21.6
"2005M01","Moottoribensiini 95 E 10, snt/l",108.0,1.1
"2005M01","Dieselöljy, snt/l",87.8,11.2
"2005M01","Kevyt polttoöljy, snt/l",47.7,22.8
"2005M01","Kevyt polttoöljy, eur/MWh",48.0,22.8
"2005M02","Moottoribensiini 95 E 10, snt/l",112.0,4.1
"2005M02","Dieselöljy, snt/l",88.2,14.3
"2005M02","Kevyt polttoöljy, snt/l",48.1,35.2
"2005M02","Kevyt polttoöljy, eur/MWh",48.3,35.3
"2005M03","Moottoribensiini 95 E 10, snt/l",112.7,1.9
"2005M03","Dieselöljy, snt/l",93.4,16.8
"2005M03","Kevyt polttoöljy, snt/l",54.3,37.5
"2005M03","Kevyt polttoöljy, eur/MWh",54.6,37.5
"2005M04","Moottoribensiini 95 E 10, snt/l",120.6,5.6
"2005M04","Dieselöljy, snt/l",97.2,19.6
"2005M04","Kevyt polttoöljy, snt/l",53.8,30.0
"2005M04","Kevyt polttoöljy, eur/MWh",54.1,30.0
"2005M05","Moottoribensiini 95 E 10, snt/l",116.5,-1.5
"2005M05","Dieselöljy, snt/l",93.1,9.6
"2005M05","Kevyt polttoöljy, snt/l",52.3,21.5
"2005M05","Kevyt polttoöljy, eur/MWh",52.5,21.5
"2005M06","Moottoribensiini 95 E 10, snt/l",120.6,6.2
"2005M06","Dieselöljy, snt/l",97.0,21.6
"2005M06","Kevyt polttoöljy, snt/l",60.7,42.2
"2005M06","Kevyt polttoöljy, eur/MWh",61.0,42.2
"2005M07","Moottoribensiini 95 E 10, snt/l",126.8,7.7
"2005M07","Dieselöljy, snt/l",98.4,18.3
"2005M07","Kevyt polttoöljy, snt/l",61.4,36.7
"2005M07","Kevyt polttoöljy, eur/MWh",61.7,36.8
"2005M08","Moottoribensiini 95 E 10, snt/l",128.6,10.1
"2005M08","Dieselöljy, snt/l",98.8,15.0
"2005M08","Kevyt polttoöljy, snt/l",63.2,31.8
"2005M08","Kevyt polttoöljy, eur/MWh",63.5,31.7
"2005M09","Moottoribensiini 95 E 10, snt/l",135.1,15.9
"2005M09","Dieselöljy, snt/l",104.4,18.7
"2005M09","Kevyt polttoöljy, snt/l",66.0,36.5
"2005M09","Kevyt polttoöljy, eur/MWh",66.3,36.4
"2005M10","Moottoribensiini 95 E 10, snt/l",130.3,8.5
"2005M10","Dieselöljy, snt/l",103.7,9.3
"2005M10","Kevyt polttoöljy, snt/l",68.4,22.4
"2005M10","Kevyt polttoöljy, eur/MWh",68.7,22.5
"2005M11","Moottoribensiini 95 E 10, snt/l",119.3,3.6
"2005M11","Dieselöljy, snt/l",99.7,7.7
"2005M11","Kevyt polttoöljy, snt/l",62.1,25.8
"2005M11","Kevyt polttoöljy, eur/MWh",62.3,25.6
"2005M12","Moottoribensiini 95 E 10, snt/l",123.0,10.6
"2005M12","Dieselöljy, snt/l",100.9,10.8
"2005M12","Kevyt polttoöljy, snt/l",60.7,35.1
"2005M12","Kevyt polttoöljy, eur/MWh",61.0,35.3
"2006M01","Moottoribensiini 95 E 10, snt/l",122.8,13.7
"2006M01","Dieselöljy, snt/l",99.6,13.4
