"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1989M11","Kevyt polttoöljy, snt/l",20.0,39.9
"1989M11","Kevyt polttoöljy, eur/MWh",20.1,39.6
"1989M12","Moottoribensiini 95 E 10, snt/l",60.4,6.5
"1989M12","Dieselöljy, snt/l",49.1,23.2
"1989M12","Kevyt polttoöljy, snt/l",21.0,47.0
"1989M12","Kevyt polttoöljy, eur/MWh",21.1,46.5
"1990M01","Moottoribensiini 95 E 10, snt/l",68.0,21.0
"1990M01","Dieselöljy, snt/l",52.3,26.4
"1990M01","Kevyt polttoöljy, snt/l",21.5,29.3
"1990M01","Kevyt polttoöljy, eur/MWh",21.6,29.3
"1990M02","Moottoribensiini 95 E 10, snt/l",68.1,21.6
"1990M02","Dieselöljy, snt/l",51.3,23.5
"1990M02","Kevyt polttoöljy, snt/l",20.5,22.0
"1990M02","Kevyt polttoöljy, eur/MWh",20.6,21.9
"1990M03","Moottoribensiini 95 E 10, snt/l",68.0,16.1
"1990M03","Dieselöljy, snt/l",50.1,14.2
"1990M03","Kevyt polttoöljy, snt/l",19.3,16.2
"1990M03","Kevyt polttoöljy, eur/MWh",19.4,16.2
"1990M04","Moottoribensiini 95 E 10, snt/l",66.8,7.9
"1990M04","Dieselöljy, snt/l",47.8,6.4
"1990M04","Kevyt polttoöljy, snt/l",18.7,11.0
"1990M04","Kevyt polttoöljy, eur/MWh",18.8,11.2
"1990M05","Moottoribensiini 95 E 10, snt/l",66.3,7.9
"1990M05","Dieselöljy, snt/l",46.9,6.9
"1990M05","Kevyt polttoöljy, snt/l",18.3,4.8
"1990M05","Kevyt polttoöljy, eur/MWh",18.4,4.5
"1990M06","Moottoribensiini 95 E 10, snt/l",68.1,12.5
"1990M06","Dieselöljy, snt/l",46.8,8.2
"1990M06","Kevyt polttoöljy, snt/l",17.5,0.0
"1990M06","Kevyt polttoöljy, eur/MWh",17.6,0.0
"1990M07","Moottoribensiini 95 E 10, snt/l",68.1,12.8
"1990M07","Dieselöljy, snt/l",46.9,8.1
"1990M07","Kevyt polttoöljy, snt/l",17.7,0.0
"1990M07","Kevyt polttoöljy, eur/MWh",17.7,0.0
"1990M08","Moottoribensiini 95 E 10, snt/l",74.5,25.5
"1990M08","Dieselöljy, snt/l",52.3,21.0
"1990M08","Kevyt polttoöljy, snt/l",23.2,32.7
"1990M08","Kevyt polttoöljy, eur/MWh",23.3,32.4
